id,title,desc,loc,date,tags
7769,Word of Mouth StorySLAM,"Still full from Thanksgiving? Come tell us about it! Join Word of Mouth Stories for its next StorySlam at 6 PM on Friday, December 9th, at the Work Gallery on State Street. This month's theme is ""Stuffed,"" and the event should be full of tasty tales. Never been to our slams before? Audience members tell five-minute stories from their lives relative to a theme. Whether you come with stories or just to listen in, we hope to see you there!",Off Campus Location - Work Gallery on State St.,['2011-12-09 18:00'],"['Food', 'Literary arts', 'Performance', 'Social event', 'Story telling']"
7859,Sustainable Food Careers Symposium,"This symposium will bring graduate and undergraduate students together with professionals in food careers related to sustainability and the environment. Our goal is to expose students to the wide range of career opportunities in this field. The event will feature four panel discussions focused on the following topics: -Food Law, Policy, and Government -International Development in Food -Sourcing and Change in the Private Sector -Start-ups in Food FREE lunch from Zingerman's Roadhouse is included! More details (and website address) to come...",Map Dana Natural Resources Building - Room 1040,['2012-02-10 9:30'],"['Career', 'Environmental', 'Food', 'International development', 'Public policy', 'Sustainability']"
8936,Grown in Detroit: Film and Panel,"In the once thriving city of Detroit, residents now struggle to find fresh produce. The Catherine Ferguson Academy for Young Women in Detroit is one of only three schools in the U.S. that educates pregnant teens and young mothers about the importance of nutrition and helps them develop skills making them independent and able to support their families. Though students initially dislike the agricultural work included in the charter school’s curriculum, their attitudes change when crops begin to bear fruit, and they see their hard work has transform into profitable food sales. Mascha and Manfred Poppenk, the creators of the award-winning documentary, “Grown in Detroit,” and a panel of U-M faculty will discuss, and show clips from, their award winning film – “Grown in Detroit ” about the amazing work done at the Catherine Ferguson Academy. The film has won dozens of awards since its debut in 2010. More information about the film including the trailer can be found here: http://www.grownindetroitmovie.com/index.php This event is sponsored by the U-M Library, Program in the Environment, the Goldring Family Foundation, Semester in Detroit, the Residential College, the Detroit Center, the Penny Stamps Lecture Series, and the Department of Afro-American and African Studies.","Map Harlan Hatcher Graduate Library - Gallery, Room 100",['2012-04-03 17:00'],"['Detroit', 'Film', 'Food', 'Nutrition', 'Sustainability']"
9356,Pre-Class Bash 2012,"Head to Palmer Field the night before classes begin (and your LAST night of summer!) to kick off the year with free food, free T-Shirts, music, games, prizes, mingling and an all-around great time!",Map Palmer Field,['2012-09-03 17:00'],"['Food', 'Games', 'Inflatables', 'Music', 'Residence halls association', 'Social event', 'T-shirts', 'Welcome week']"
9835,Gayz Craze 2012,"This annual festival is a FREE outdoor event complete with a DJ, dancing, food, performances, giveaways, henna, and more! There will also be opportunities to network with student organizations on campus, meet tons of new friends, and watch some of the best on-campus performers at the University. The theme this year is ""We Are All Heroes,"" highlighting the fact that people of all identities can achieve amazing things. Gayz Craze is an annual celebration hosted by the LGBT Issues Commission of the Central Student Government. It promotes a welcoming and inclusive environment for LGBTQA-identified students, as well as allies.",Map Palmer Field,['2012-09-03 12:00'],"['Ally', 'Food', 'Lgbtq', 'Multicultural', 'Networking', 'Social justice', 'Welcome week']"
10047,Feast!,"From cinnamon in Sri Lanka to figs in ancient Rome, the winter exhibit at Matthaei Botanical Gardens takes a look at how plants have played an essential role in celebrations and cooking in cultures around the world, especially during the holiday season. Activities during the exhibit include a live music opening day (Nov. 24), seasonal flower display, student-generated interpretation, member sale, kids activities, and more. Open New Year's Day.",Map Matthaei Botanical Gardens,"['2012-11-24 10:00', '2012-11-25 10:00', '2012-11-26 10:00', '2012-11-27 10:00', '2012-11-28 10:00', '2012-11-29 10:00', '2012-11-30 10:00', '2012-12-01 10:00', '2012-12-02 10:00', '2012-12-03 10:00', '2012-12-04 10:00', '2012-12-05 10:00', '2012-12-06 10:00', '2012-12-07 10:00', '2012-12-08 10:00', '2012-12-09 10:00', '2012-12-10 10:00', '2012-12-11 10:00', '2012-12-12 10:00', '2012-12-13 10:00', '2012-12-14 10:00', '2012-12-15 10:00', '2012-12-16 10:00', '2012-12-17 10:00', '2012-12-18 10:00', '2012-12-19 10:00', '2012-12-20 10:00', '2012-12-21 10:00', '2012-12-22 10:00', '2012-12-23 10:00', '2012-12-26 10:00', '2012-12-27 10:00', '2012-12-28 10:00', '2012-12-29 10:00', '2012-12-30 10:00', '2013-01-01 10:00', '2013-01-02 10:00', '2013-01-03 10:00', '2013-01-04 10:00', '2013-01-05 10:00', '2013-01-06 10:00']","['Conservatory', 'Culinary', 'Environmental', 'Food', 'Matthaei', 'Plants']"
10075, International Christian Fellowship Dinner & Game Night,Come and meet new friends from around the world and enjoy a free dinner. Sponsored by International Christian Fellowship.,Map East Hall - Math Atrium,['2012-09-02 18:00'],"['Christian', 'Food', 'Free food', 'Games', 'International', 'International students', 'Multicultural', 'Religious', 'Student org', 'Welcome week']"
10078,Cookout in the Courtyard,Looking for a barbecue on Labor Day? Come join us for a late afternoon cook-out in the courtyard to meet other students and learn about the Catholic Student Association and St. Mary Student Parish. FREE FOOD!,Off Campus Location - St. Mary Student Parish,['2012-09-03 17:00'],"['Catholic', 'Food', 'Outreach', 'Religious', 'Students']"
10080,Fresh Gathering ,"Take a break from the busy pace of college life and gather with other new students at St. Mary Student Parish for a home-cooked meal, followed by an evening of conversation and reflection. Please RSVP by Sept. 12 to Abby Braun aabraun@umich.edu",Off Campus Location - St. Mary Student Parish,['2012-09-14 18:00'],"['Food', 'Freshman', 'Games', 'New students']"
10187,BRASSICA--The Ann Arbor Student Food Stand,"After a successful pilot day in spring of 2012, the members of Ann Arbor Student Food Stand have decided to have a fresh produce stand on campus every week! Our first day is THIS FRIDAY, September 7th on the sidewalk of North University in between The League and Hill Auditorium We will have FRESH and AFFORDABLE PRODUCE ON CAMPUS. Come by and check us out! *Sponsored by Planet Blue Student Innovative Fund",Map Diag - Central Campus - On the sidewalk of North University in between Hill Auditorium and The League,['2012-09-07 11:00'],"['Food', 'Health and wellness', 'Student organization']"
10720,Secular Student Alliance Weekly Meeting,"We will be hosting a screening of the documentary ""Collision."" From the movie's website: ""COLLISION carves a new path in documentary film-making as it pits leading atheist, political journalist and bestselling author Christopher Hitchens against fellow author, satirist and evangelical theologian Douglas Wilson, as they go on the road to exchange blows over the question: ""Is Christianity Good for the World?"". The two contrarians laugh, confide and argue, in public and in private, as they journey through three cities. And the film captures it all. The result is a magnetic conflict, a character-driven narrative that sparkles cinematically with a perfect match of arresting personalities and intellectual rivalry. COLLISION is directed by prolific independent filmmaker Darren Doane (Van Morrison: Astral Weeks Live at the Hollywood Bowl, The Battle For L.A., Godmoney)."" The screening will be held in our regular room, 807 Dennison. We will be servings popcorn and drinks! Feel free to stop by!",Map Weiser Hall - 807,['2012-10-04 7:00'],"['Atheism', 'Debate', 'Film', 'Food', 'Free', 'Movie', 'Popcorn', 'Religion', 'Religious', 'Student org']"
10792,Business Etiquette Luncheon,"Don't ever feel nervous about talking at a professional lunch meeting or interview again! Over a four-course meal, professional dining expert Keith Soster, University Unions food services director, will teach you the ins-and-out of today's professional dining etiquette. Register today for only $15, which includes your meal and any materials at the event. Early bird registration is open until Friday, October 19! Register at campusinvolvement.umich.edu, and pay your $15 registration fee at SORC, Room 4015 of the Michigan Union",Map Michigan League - Hussey Room,['2012-11-02 12:00'],"['Business', 'Career', 'Etiquette', 'Food', 'Social']"
11464,41st Annual Ann Arbor Dance for Mother Earth Powwow,"The Dance for Mother Earth Powwow encompasses dancers, singers, artists, and crafters who come from all over North American. This powwow represents our appreciation for all that Mother Earth provides and shows the beauty and vibrancy of our traditions. We hope that you will attend the event and enjoy this celebration along with us!",Map Crisler Arena - Main Court,"['2013-04-06 10:00', '2013-04-07 10:00']","['American indian', 'Dance', 'Environmental', 'Food', 'Indian', 'Mesa', 'Multicultural', 'Native', 'Native american', 'Native culture', 'Powwow', 'Social justice', 'Visual arts']"
11708,Taylor delivers annual MLK Lecture at SNRE,"Dorceta Taylor is delivering the annual MLK Lecture at the School of Natural Resources and Environment as part of the school’s Dean's Speaker Series. Taylor is a professor of Environmental Justice at SNRE. She also is founder and director of the Multicultural Environmental Leadership Development Initiative, which aims to increase diversity in environmental organizations as well as the broader environmental movement. It also promotes greater diversity in leadership in the environmental field. Her lecture is titled ""Race, Poverty, and Access to Food in America: Resistance, Survival, and Sustainability."" It begins at 5 p.m. in Room 1040, Dana Building. The lecture will be followed by a question-and-answer session and is open to the public. Her research interests include urban agriculture and food security; green jobs; social movement analysis; environmental justice; leisure and natural resource use; poverty; and race, gender, and ethnic relations. Taylor is the principal investigator on a five-year, $4 million study of disparities in access to healthy food across the state. The researchers will interview residents and study data in 18 small to mid-sized cities to better understand the factors affecting ""food security,"" a socioeconomic term that defines easy access to safe and healthy food. And because urban agriculture is seen as part of the solution to food insecurity in cities, the researchers will study how locally grown food can more easily get to the poor, traditionally minority, populations most at risk. ""The study will give us an opportunity to get an in-depth understanding of several types of food systems in the state,"" Taylor said. ""The study is unique in that we will examine aspects of the food system that are necessary to connect food to consumers more efficiently."" Other recent research activities have included an analysis of the green jobs sector and four national studies of racial and gender diversity in the environmental field. Her 2009 book, ""The Environment and the People in American Cities,"" is an award-winning urban environmental history book. In 2010, she completed an edited volume titled, ""Environment and Social Justice: An International Perspective."" And she just completed a book to be published in 2013 titled, ""Why Don’t They Move? Race, Space, Residential Mobility, and Environmental Hazards."" She also has another completed manuscript under review titled, ""Power, Privilege, and Environmental Protection: Social Inequality and the Rise of the American Conservation Movement.""",Map Dana Natural Resources Building - Room 1040,['2013-01-21 17:00'],"['Environment', 'Environmental justice', 'Food', 'Sustainability']"
11792,Eat to Live–OLLI Study Group (50+),"The book, ""Eat to Live, The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss"" by Joel Fuhrman M.D. will be our focus. Known for PBS presentations, Dr. Fuhrman's work is on the cutting edge of nutrition, health and diet. The first class will explore the concepts of 'nutritarian' eating and why he believes this program builds health and promotes weight loss. The second class will deal with eating on the program and converting recipes. Instructor: Abby Wilson","Off Campus Location - Trinity Lutheran Church, 1400 W. Stadium Blvd.","['2013-01-23 10:00', '2013-01-30 10:00']","['Food', 'Healthy eating', 'Lifelong learning', 'Nutrition', 'Olli', 'Retirement', 'Weight loss']"
12382,U Love UMix!,"Be our valentine, Friday February 8, at ""U Love UMix!"" Stop by the Michigan Union from 10pm - 2am to participate in inclusive speed dating; make your own ""Build-A-Bear;"" play condom bingo; and learn about healthy relationships and safe sex, courtesy of University Health Service's ""Sexperteam."" And if you're craving fondue, then you'll love our buffet this week! Featured movie presentation will be Twilight Breaking Dawn - Party 2! Valid MCard required for entry.",Map Michigan Union,['2013-02-08 22:00'],"['Alcohol-free', 'Comedy', 'Food', 'Karaoke', 'Late night', 'Movie', 'Trivia', 'Umix', ""Valentine's day""]"
12490,"Food, Health & Sustainability: from gardens to global supply","The global food system is poised for change. The burdens of the industrial food system on environmental quality, biodiversity, rising obesity, and economic inequality lie in stark contrast to the grassroots efforts around the world to transform the food system into a force for environmental protection and economic revitalization. We will evaluate the causes and effects of these different systems, drawing upon the food system in Michigan and global examples.","Off Campus Location - Clarion Inn and Conf. Center, 2900 Jackson Rd. AA",['2013-02-14 15:00'],"['Environment', 'Food', 'Food sustainability', 'Health']"
12570,Business Etiquette Luncheon,"You do not ever have to feel nervous about talking at a professional lunch meeting or interview again! Come enjoy a four course meal and learn what to do and what not to do during formal dining from University Unions Food Services Director Keith Soster. Register today for only $10, which includes your meal and any materials at the event. Registration is open online at campusinvolvement.umich.edu. You must pay the $10 registration fee after completing the online form to SORC (4015 Michigan Union) by Friday, March 1st to reserve your spot. Space is limited, so register today!",Map Pierpont Commons - Boulevard Room,['2013-03-22 12:00'],"['Business', 'Career', 'Center for campus involvement', 'Educational', 'Etiquette', 'Food', 'North campus', 'Pierpont commons', 'Presentation', 'Professional development']"
12677,Recipes in a Mug,Join us for a demonstration of easy-to-make recipes that you can make in a mug! Decorate your own mug and enjoy some delicious desserts! This event is part of the Week of Pinspiration: a week of programs inspired by all the Pinterest pins you've been meaning to try. See details about other free events at campusinvolvement.umich.edu.,Map Michigan Union - U-Club,['2013-02-26 18:00'],"['Baking', 'Crafts', 'Food', 'Social']"
13076,The History of Food--OLLI (50+),"Speaker: Richard W. Redding, Associate Curator, Museum of Anthropology, U-M Dr. Redding will explain what science can tell us about food gathering and development from earliest times through to the villages and then farms of the ancient near Eastern peoples. Dr. Redding spent the winter of 2012-2013 doing further research in Egypt. His investigations, excavations, and surveys have taken him all over the world seeking an understanding of the origin of food production and the evolution of complex societies. This is the first of six lectures in the series: “Our Food Supply: A Complicated Story”","Off Campus Location - Clarion Hotel & Conference Center, 2900 Jackson Ave (Please car pool when possible.)",['2013-04-11 10:00'],"['Anthropology', 'Food', 'Lifelong learning', 'Middle east', 'Olli', 'Retirement']"
13768,A Party for Your Mind,"Join us at the Shapiro Library for a Party for Your Mind! There will be: * free pizza * mini golf * giveaways * video games on the big screens * an arts and crafts corner * palm reading * free movies in the screening room * Sunday, August 31st, from 4-6pm. Hope to see you there!",Map Shapiro Harold & Vivian Library,['2014-08-31 16:00'],"['""welcome to michigan""', 'Food', 'Free', 'Games', 'Social']"
13820,M Farmers' Market,"A day of farm fresh fun! Central Student Government (CSG) in partnership with the University Unions presents the third annual M Farmers’ Market! Come learn about and enjoy fresh, local, and sustainable products found on campus. There will be fresh fruits and vegetables from local farms available for purchase. There will also be chef demonstrations with easy recipes, free samples, healthy and sustainable eating tips, interactive displays, giveaways, and much more! This year’s theme will be “Buy it Local, Cook it Global” with recipes featuring an international spin. The market emphasizes and encourages healthy eating and a campus committed to sustainable efforts and local source benefits. Blue Bucks, credit cards, and cash will be accepted. Join us on the following dates: September 12th, 11am-3pm, at Michigan Union Courtyard September 26th, 11am-3pm, at the Duderstadt (North Campus) October 10th, 11am-3pm, at the Duderstadt (North Campus)",Map Michigan Union - Courtyard Patio,['2013-09-12 11:00'],"['Farmer', ""Farmer's market"", ""Farmers' market"", 'Food', 'Healthy', 'Michigan union', 'Sustainable', 'University unions']"
13821,M Farmers' Market,"A day of farm fresh fun! Central Student Government (CSG) in partnership with the University Unions presents the third annual M Farmers’ Market! Come learn about and enjoy fresh, local, and sustainable products found on campus. There will be fresh fruits and vegetables from local farms available for purchase. There will also be chef demonstrations with easy recipes, free samples, healthy and sustainable eating tips, interactive displays, giveaways, and much more! This year’s theme will be “Buy it Local, Cook it Global” with recipes featuring an international spin. The market emphasizes and encourages healthy eating and a campus committed to sustainable efforts and local source benefits. Blue Bucks, credit cards, and cash will be accepted. Join us on the following dates: September 12th, 11am-3pm, at Michigan Union Courtyard September 26th, 11am-3pm, at The Duderstadt (North Campus) October 10th, 11am-3pm, at The Duderstadt (North Campus)",Map Duderstadt Center (Media Union) - Outside near the Gallery,['2013-09-26 11:00'],"['Duderstadt', 'Farmer', ""Farmer's market"", ""Farmers' market"", 'Food', 'Healthy', 'Healthy eating', 'Michigan union', 'North campus', 'Sustainability']"
13822,M Farmers' Market,"A day of farm fresh fun! Central Student Government (CSG) in partnership with the University Unions presents the third annual MFarmers’ Market! Come learn about and enjoy fresh, local, and sustainable products found on campus. There will be fresh fruits and vegetables from local farms available for purchase. There will also be chef demonstrations with easy recipes, free samples, healthy and sustainable eating tips, interactive displays, giveaways, and much more! This year’s theme is “Buy it Local, Cook it Global” with recipes featuring an international spin. The market emphasizes and encourages healthy eating and a campus committed to sustainable efforts and local source benefits. Blue Bucks, credit cards, and cash will be accepted. Join us on the following dates: September 12th, 11am-3pm, at Michigan Union Courtyard September 26th, 11am-3pm, at The Duderstadt (North Campus) October 10th, 11am-3pm, at The Duderstadt (North Campus)",Map Duderstadt Center (Media Union) - Outside near the Gallery,['2013-10-10 11:00'],"['Farmer', ""Farmer's market"", ""Farmers' market"", 'Food', 'Healthy', 'Healthy eating', 'Market', 'North campus', 'Sustainability', 'University unions']"
13835,Welcome to the Campus Farm!,"The University of Michigan Sustainable Food Program (UMSFP) welcomes new students and friends out to the Campus Farm to meet the food focused student groups. Come discover what UM students are doing to work towards having greener, tastier, and healthier food in our community. Some of the groups include UMBees, Cultivating Community, Friends of the Campus Farm, Permaculture Design Team, and Ann Arbor Student Food Co. This is a carnival style event where students can pick their own vegetables, explore food related and sustainability courses, talk with local food organizations, and tour the Matthaei Botanical Gardens. M-Buses will run from Central Campus Bus Station to the farm from 12:45 to 4:15 on the 30 minute interval. Matthaei Botanical Gardens 1800 N. Dixboro Rd. Ann Arbor, MI 48105",Map Matthaei Botanical Gardens - Campus Farm,['2013-09-02 13:00'],"['Agriculture', 'Ann arbor student food co.', 'Bees', 'Campus farm', 'Career', 'Career exploration', 'Community gathering', 'Consortium on agriculture', 'Cultivating community', 'Education', 'Environment', 'Environmental', 'Environmental education', 'Environmental innovation', 'Food', 'Food and gardens', 'Food and the environment', 'Food recovery network', 'Food sustainability', 'Friends of the campus farm', 'Garden', 'Health and wellness', 'Healthy eating', 'Herb garden', 'Matthaei botanical gardens', 'Michigan sustainable foods initiative', 'Nature', 'Nutrition', 'Outdoor adventures', 'Permaculture', 'Permaculture design team', 'Social justice', 'Student advocates for nutrition', 'Student org', 'Student organizations', 'Sustainability', 'Sustainable food systems', 'Umbees', 'Vegetables', 'Welcome week', 'Welcome week event']"
13836,UMSFP Harvest Festival ,"Details: The 2nd annual UMSFP Harvest Festival will celebrate the first growing season in the Campus Farm's permanent home at Matthaei Botanical Gardens. Join us for good food, good music, farm tours, and other seasonal activities! Tickets available at www.umsfp.com or at the door. Stay tuned to our facebook page (https://www.facebook.com/umsfp) for updates and details, and contact umsfp.comm@umich.edu to get involved!",Map Matthaei Botanical Gardens - Campus Farm (bordering Dixboro Road-- enter through Service Entrance),['2013-10-02 16:00'],"['Campus farm', 'Career', 'Celebration', 'Community gathering', 'Environment', 'Environmental', 'Event', 'Festival', 'Folk', 'Food', 'Food and gardens', 'Food sustainability', 'Free', 'Games', 'Garden', 'Health and wellness', 'Local', 'Local food', 'Matthaei botanical gardens', 'Music', 'Social event', 'Social justice', 'Student org', 'Sustainability', 'University unions']"
13905,Ann Arbor Sharing Summit,"WHAT: A public gathering for all ages to connect and learn about opportunities for sharing and sustainable community building in the Ann Arbor area WHERE: Matthaei Botanical Gardens and UM Campus Farm, 1800 N. Dixboro Road, Ann Arbor WHEN: Friday, August 9th. 2-4 PM: Tour and volunteer at the Campus Farm; 4-7 PM: Summit at Matthaei Botanical Gardens Auditorium WHY: To build capacity and momentum for the Ann Arbor sharing economy and the sustainable food movement FOOD: Guests are invited to bring a cold dish to share, as well as their own reusable table service. TRANSPORTATION: Free round trip shuttle service will be provided, departing from Central Campus Transit Center: CC Little every hour from 1:45-6:45 and from the Gardens from 2:15-7:15. Parking at the Gardens is $1.40/hour, with a $5 maximum daily rate, and goes to support the Gardens and Arb. Guests are encouraged to take the shuttle, carpool, or organize a rideshare through iShareARide. COST: Free; donations welcomed RSVP: Please let us know you are coming by RSVPing at http://a2sharesummit.eventbrite.com/ CONTACT: info@a2share.org MORE INFO: http://a2share.org A2Share presents the inaugural Ann Arbor Sharing Summit, with support from the UM Sustainable Food Program, the UM Matthaei Botanical Gardens and UM Campus Farm, and Shareable. The event will be held at the Matthaei Botanical Gardens and UM Campus Farm, from 2-7PM on Friday, August 9th. The purpose of the summit is to connect the various people and organizations interested and invested in the sharing economy of the Ann Arbor area and serve as a springboard for future conversations and collaborations. The ultimate goal is to build capacity for the community’s sharing (and shared) resources in a fun, informative, and cross-disciplinary context. The summit will feature invited talks by local sharing enthusiasts and entrepreneurs, tabling, open space break-out sessions, live music, a potluck, a farm tour, and the opportunity to pitch in and get one’s hands dirty on the farm. The event is free and open to the public. Please RSVP at http://a2sharesummit.eventbrite.com/",Map Matthaei Botanical Gardens - Auditorium,['2013-08-09 14:00'],"['Campus farm', 'Collaboration', 'Economic development', 'Environmental', 'Environmental business', 'Environmental economics', 'Environmental justice', 'Food', 'Food sustainability', 'Fun', 'Matthaei', 'Matthaei botanical gardens', 'Music', 'Sharing economy', 'Social justice', 'Sustainability', 'Sustainable', 'Sustainable business', 'Sustainable food systems', 'Sustainable innovation', 'Sustainable transportation', 'Volunteer']"
14335,"American Foodways: The Jewish Contribution, 1660-2013","Join us for the exhibit opening of ""American Foodways: The Jewish Contribution."" Jan Longone, Adjunct Curator in the U-M Special Collections Library, will explore the multifaceted contributions of Jewish Americans, beginning with the first kosher butcher in America (1660) and the earliest Jewish cookbook published here in 1871. Among the topics discussed will be Butchers, Bakers and Market Men; Charitable Cooks and their Cookbooks (1888-2013); the Role of the Media; Restaurants, Delicatessens and Menus; Commercial Advertising Ephemera; A Chronology of Jewish-American Cookbook Publishing; Jewish-American Food Festivals; and more. Please arrive early to allow time to view the exhibit; culinary volunteers will be available at 3 p.m. The lecture will be followed by a reception, with refreshments provided by Zingerman's.",Map Harlan Hatcher Graduate Library - Gallery (enter from DIag),['2013-09-24 16:00'],"['Cooking', 'Food', 'Jewish community', 'Jewish studies']"
