32055,Economic Theory,Abstract and paper not yet available.,Map Lorch Hall - 301,['2016-09-16 15:30']
16914,"Senior Recital: Pavitra Ramachandran, soprano",PROGRAM: Handel - A mio cor from Alcina; Barber - Sleep Now; Sure on this Shining Night; A Nun Takes the Veil; Nocturne; Schumann - Nur wer die Sehnsucht kennt; Heiss mich nicht reden; Strauss - Morgen; Schlechtes Wetter; Breit Ã¼ber mein Haupt; Allerseelen; Debussy - Nuit d’étoiles; Mandoline; Romance; Chevaux de bois.,Map Earl V. Moore Building - McIntosh Theatre,['2014-03-22 17:00']
4861,"Influence, Hybridization, or Transculturation? Muslims, Jews, and Christians in the Music of Medieval Spain",Part of The Connecting Sea: Charting the Mediterranean across the Disciplines. See http://www.ii.umich.edu/ces-euc for all events.,Map School of Social Work Building - 1636 International Institute,['2011-01-21 14:00']
6056,Long-Term Employment Authorization Options: H-1B and Permanent Residency,"Designed for international students who plan to work in the U.S. following graduation, as well as internationals who are currently employed or are seeking employment at U-M. Topics covered include H1-B Temporary Work Visa, Employment-Based U.S. Permanent Residency, basic eligibility requirements, and specific procedures. Presenter: The speaker, Vicky Farah, one of U-M's retained immigration attorneys, is a lifelong Michigan resident who has been practicing immigration and nationality law for more than 25 years. She has a Juris Doctor degree from Wayne State University. Vicky has been a member of the American Immigration Lawyers Association (AILA) Michigan Chapter since 1981.",Map Pierpont Commons - Boulevard Room,['2011-06-22 14:00']
38374,Deadline: German Department Funding for Taking Spring/Summer Language Courses at Goethe Institut in Germany,"German Department Funding for Taking Spring/Summer Language Courses at Goethe Institut in Germany Monday, March 27 (Application Deadline) If you are taking spring/summer classes at a Goethe Institut in Germany, you can apply for a scholarship from the German Department. The application deadline for funding through us is Monday, March 27. Here is the funding application link: https://goo.gl/Iw0pwA You will be informed by early April, how much funding you will get through the German Department; and you will then have two weeks to complete all items (uploading passport photo, HTH health insurance, etc.) on MCompass. There is no rolling disbursement of funds--applications will only be reviewed after March 27.",Off Campus Location,['2017-03-27 23:59']
28349,Careers in Software Development for STEM PhDs: Web-Based Panel hosted by Versatile PhD,"Join us Virtually! February 22-26 in the ""STEM Forum"" for a panel discussion. Science, Technology, Engineering, and Mathematics PhD's currently making an impact in some interesting roles will join us for the entire week to answer your questions. All are satisfied by their careers and look forward to telling their stories and answering your questions. Panelists will introduce themselves Monday, February 22 and will answer your questions for the rest of the week through Friday, February 26. To participate, join VPhD at https://versatilephd.com/register/ if you haven’t already. Then visit the ""STEM forum"" any time during the week of February 22nd, 2016. Look for threads beginning with the word “Panel.” No special registration or sign-up for the panel discussion is required beyond simply joining the Versatile PhD community. Joining automatically gets you access to the discussion forum and the panel.",Online-Virtual Event,['2016-02-22 8:00']
37356,Gender & Feminist Psychology Brown Bag,Title: TBA,Map East Hall - 4464,['2017-01-12 12:00']
20963,National Pan-Hellenic Council Meeting,Meeting of NPHC Exec board and chapter reps.,Map Michigan Union - 2015B,"['2015-01-29 20:00', '2015-02-12 20:00', '2015-02-26 20:00', '2015-03-05 20:00', '2015-03-12 20:00', '2015-03-26 20:00', '2015-04-02 20:00', '2015-04-09 20:00', '2015-04-16 20:00']"
38210,Consent by De-Zine Release Party,"Throughout the year the SAPAC Peer Educators have been compiling Consent by De-Zine, a compilation of consent and health relationship-themed art, poetry, and prose. Come celebrate the zine’s release with us! Food will be provided, and all are welcome.",Map North Quad - Space 2435,['2017-02-13 19:00']
33312,Wolverine CuiZine Mass Meeting,"Come to learn more about Wolverine CuiZine, meet current members and join the club immediately!Mass meeting will be from 6:10-6:40pm on Monday, Sept. 12, in room 2427 Mason Hall.",2427 Mason Hall,['2016-09-12 18:00']
37742,"Being Killable: Precarization, Violence and Neoliberal Labor in Contemporary Mexico","Over the past two decades, the question of violence in Mexico has occupied a considerable amount of attention in different disciplines across the humanities and social sciences. From the Ciudad Juárez femicides and the harrowing experiences of Central American migrants to the rise of criminal organizations and citizen vulnerability, the experience of violence in neoliberal Mexico has acquired a level of urgency and thus elicited reactive work on the part of scholars in different fields. This paper seeks to systematize the work of scholarship regarding violence in Mexico under the idea of “being killable,” i.e. the dynamics of socialization and subjectification that determine who is the target of violence across the board. Departing from theories of precarization and labor, the paper explores different literary and film works, as well as public interventions and theories, to contend that violence can be read across two axes: the nature of labor in the neoliberal era and the imagination of subjectivity beyond identity. Ignacio M. Sánchez Prado is Professor of Spanish and Latin American Studies at Washington University in Saint Louis. His research centers on the relationship between aesthetics, ideology and cultural institutions in Mexico, with a particular focus on literature and cinema. He is the author of El canon y sus formas. La reinvención de Harold Bloom y sus lecturas hispanoamericanas (2002), Naciones intelectuales. Las fundaciones de la modernidad literaria mexicana (1917-1959) (2009), winner of the LASA Mexico 2010 Humanities Book Award: Intermitencias americanistas. Ensayos académicos y literarios (2004-2009) (2012); and Screening Neoliiberalism. Transforming Mexican Cinema 1988-2012 (2014). He has edited and co-edited nine scholarly collections, the most recent of which are Democracia, Otredad y Melancolía. Roger Bartra ante la crítica (with Mabel Moraña. 2015) and A History of Mexican Literature (with Anna Nogar and José Ramón Ruisánchez, 2016), recently published by Cambridge University Press. He has published over eighty scholarly articles on Mexican literature, culture and film, and on Latin American cultural theory.",Map Modern Languages Building - 4th Floor RLL Commons,['2017-02-16 16:00']
31916,Pre-Law 101 for Transfer Students,This session will provide you with the first steps in exploring a career in law. The pre-law advisors from the Newnan Advising Center will review the law school admission process and provide tips on how to submit a strong application. This session is designed to address the unique circumstances of transfer students and will allow for time at the end of the presentation for questions.,Map Angell Hall - G243,['2016-11-01 15:30']
15627,Music Theory Lecture: Harald Krebs (University of Victoria),"“Declamation in Clara Schumann’s Songs as an Influence on Robert Schumann’s Late Song Style” Clara Schumann composed her first mature songs in the early 1840s, shortly after Robert Schumann’s first outpouring of Lieder. Whereas most of Robert’s songs from this period are simple and predictable in their treatment of all levels of the poetic rhythm, Clara’s songs feature incongruence of poetic and musical stress, overriding of the poem’s lineation, and irregularity of foot duration. Robert Schumann’s late songs (1849-52) contain distortions of the poetic rhythm similar to those in Clara’s songs. Given his familiarity with Clara Schumann’s Lieder (most of which were composed for him), it is likely that her distinctive declamation was an important influence on his late song style. Through analysis of passages from Clara Schumann’s songs and from late songs by Robert Schumann, I demonstrate the declamatory similarities, and also the similar expressive motivations of the two composers’ distortions of the poetic rhythm. Supported by the Carrigan Lecture Fund",Map Stearns Building - Cady Room,['2014-01-30 16:30']
38910,PPSO Yoga Relay For Life Fundraiser,Come on out and support PPSO's relay for life fundraiser by attending an hour long yoga class! The class costs just $6 and the proceeds goes to a fantastic cause! Please pay beforehand in cash to an eboard member or venmo @UMPPSO,Map Michigan League,['2017-02-19 16:30']
34702,Marketing/Advertising Career Track: An Outlook on Digital Marketing Careers with U-M Alumnus Charlie Pawlik,"Join U-M Alumnus Charlie Pawlik, Account Executive for ad-tech company Magnetic, as he explore careers in digital marketing with current students. If you are interested in the marketing/advertising field, thisis a can't miss event! Charlie is an Account Executive for Magnetic, an ad-tech company based in NYC. Charlie's main expertise lies in digital media including programmatic audience targeting, SEO/SEM, video display, email marketing, social and cross-device marketing. Charlie will join the session remotely, but we will host all participants in The University Career Center on the 3rd floor of the Student Activities Building. Students are asked to register for the event by clicking ""join event"" on the event page: https://umich.joinhandshake.com/events/29735","Program Room (3003) University Career Center, 3200 Student Activities Building 515 E Jefferson St, Ann Arbor, MI, United States",['2016-10-06 18:00']
30410,"Two Dimensional Spectroscopy: From Metal Carbonyls to Lipid Membranes
14228,“Figures of Speech: Picturing Poetry in Fifteenth-Century Gujarat.” ,"Nachiket Chanchani, assistant professor of history of art, U-M. 1636 International Institute, 1080 S. University. Contact: csas@umich.edu or 615-4059. For more information, see www.ii.umich.edu/csas.",Map School of Social Work Building - 1636,['2013-09-06 16:00']
27292,Monday Art,"This is an informal, year-round class for those over 50 in which you decide what to create. You can bring bag lunches (no meat please) and stay or drop in for a while. You can work in any medium. If you wish, we can critique your work. If you want to learn a new medium, we can help. Occasionally, we will view DVDs or do new, experimental work. Please bring materials to start, along with your enthusiasm. Plan to have fun. Instructors: Barbara Anderson and Nancy Major Classes meet Mondays, January 4 through August 29, except July 4.",Jewish Community Center 2935 Birch Hollow Drive,['2016-01-04 11:00']
36336,Economic Theory: Can Agents with Causal Misperceptions be Systematically Fooled?,Abstract and paper not yet available.,Map Lorch Hall - 301,['2017-04-28 15:30']
21189,"The Data of Life Writing: Gender, Race, and the Digital","Co-presented by the Institute for the Humanities and the Institute for Research on Women & Gender Contemporary explorations of life writing, capaciously defined, unfold by means of new methodologies and theoretical frameworks. Online platforms have released an unprecedented flood of public writing about the self, and scholars have developed ways to navigate the stream. At the same time, digitizing the auto/biographical record affords scholars new avenues for analysis of life writing genres at scale. This one-day conference showcases research by renowned scholars investigating life writing in and through digital environments, as well as emerging work by U. of Michigan graduate students. Gender and race serve as critical frames for the day's discussion. Schedule 9:00 a.m. Breakfast 9:20 a.m. Welcome 9:30 - 10:30 a.m. Alison Booth (English, University of Virginia) Crowding Attention: Prosopography, Women, and Nationality ""Collective Biographies of Women (CBW), an accessible bibliography and database, brings to light a genre of printed books that represent diverse women. This study of prosopography (or biographies of individuals in sets and networks) unites literary history, narrative theory, gender, and digital humanities. This talk discuss the concept of prosopography and the issues of “crowding attention” in large-scale collective representation, including databases and social media. Data and governments similarly seek to determine birthplace, citizenship, residence—facets of identity that both individually and en masse seem to require narration rather than the entry of facts. Yet large-scale or collective representations serve various purposes that also open opportunities for women in history and today."" 10:30 - 10:45 a.m. Coffee break 10:45 a.m-12:15 Lightning Talks by U-M Graduate Students Faithe Day, Jina Kim, Liz Rodrigues, Emily Waples, and Jessica Zychowicz 12:15 - 1:30 p.m. Lunch at Humanities Institute Atrium 1:30 - 2:30 p.m. Aimée Morrison (English, University of Waterloo) Mashup, remix, rewrite: new media studies and auto/biography theory and practice “This talk, based on my book in progress, takes new media technology as both the instrument and the object of study, looking for the really messy, ambiguous, contested bits where tools use people, and people use tools, but the ascription of agency is difficult and the performance of scholarship beset by quandaries. This is a mashup of literary close readings with design thinking, a remix of techno-utopianism, a reading of the takeup and reshaping of consumer-grade tools into new cultural practices of ubiquitous self-representation, filtered through the lens of auto/biography theory.” 2:40 - 3:00 p.m. Discussion wrap up with Sidonie Smith, Director of the Institute for the Humanities",Map Lane Hall - 2239,['2015-01-30 9:00']
15383,Exploring If An Internship Is A Good Personal Decision,"This group discussion is for freshmen, sophomores, and juniors who are currently exploring whether or not they would like to intern. Facilitated by a Career Center coach, participants will discuss whether or not an internship is a good personal decision, societal pressure associated to finding and eventually landing an internship, and also how to make an informed decision about whether or not to intern. This lively and informal discussion will take place at the Career Center. Register through Career Center Connector today: To Register: 1. Log in to Career Center Connector: http://careercenter.umich.edu/article/career-center-connector 2. Click ""Workshops and Employer Events"" 3. Click ""Workshops"" 4. Find the small group discussion you are interested in attending 5. Click RSVP",Map Student Activities Building - The Career Center Program Room,['2013-11-20 16:00']
30498,Gifts of Art presents Classical Guitar,"Michael Casher is a physician at the University of Michigan Hospital and a classical guitarist. He has performed solo and with chamber groups throughout Michigan. ""Michael Casher is a fine musician, with a warm, elegant and engaging sound."" – Brian Roberts, Professor of Guitar at Wayne State University.","Map University Hospitals - University Hospital Main Lobby, Floor 1.",['2016-05-12 12:10']
21971,Exhibit Unpacked: Learning in Real Life,"Experience artifacts from the Learning in Real Life Exhibit up close and interact with the creators. Join Tatiana Calixto, lecturer in Spanish at the Department of Romance Languages & Literatures and GIEU teaching fellow, for a live demo/performance of an ancestral weaving technique from the Peruvian Highlands. Global Information Week provides events and a venue for students to reflect on globalization and its effect on their lives. The University Library is not only a place for research but also a central hub where students share their work and make connections.",Map Harlan Hatcher Graduate Library - Gallery (Room 100),['2015-03-18 15:30']
38948,Climate Blue Spring Symposium 2017,"Our spring symposium will bring together students and community members to reflect on their interdisciplinary effort to support climate and environmental policy. Our event will feature past COP delegates and Univ. of Michigan alumni to describe their experiences at recent international climate negotiations. We are planning to have an environmental policy expert panel to discuss how policy transcends scales of government, academia and community.",,[]
12498,Gamelan Concert,"A distinguished dancer-musician-composer from Java, Indonesia, Anon Suneko will be leading the University of Michigan Gamelan Ensemble and some student dancers in a performance of Javanese traditional music and dance. Under Suneko’s direction as both a drummer and the principal dancer, the elegant and refined bodily movements depicting ancient epic stories will be accompanied by the traditional musical sounds of a full gamelan ensemble, where the glittering cast bronze instruments match every detail of the dancing with elaborate musical responses embedding ritualistic power. Often lauded as the pinnacle of aesthetic achievement in Indonesia, Javanese dance is one of the world’s great classical dance forms. Gamelan music, on the other hand, has been indispensible to the important Javanese rituals and cultural forms throughout the history. Co-sponsored by the Center for Southeast Asian Studies, and the Residential College.",Map Hill Auditorium,['2013-03-26 20:00']
18292,ASP Lecture,"Eric Bogosian, Manoogian Simone Foundation Fellow; and Artist in Residence, Institute for the Humanities, U-M Eric Bogosian is best known as a playwright, novelist, and actor. Most recently he starred with Laura Linney on Broadway in Donald Margulies’ Time Stands Still. Bogosian wrote and starred in the play Talk Radio (NYSF, 1987; Broadway with Liev Schreiber, 2007), for which he received Pulitzer Prize and Tony award nominations. For his film adaptation of the play, Bogosian received the Berlin Film Festival Silver Bear Award. His six solo Off-Broadway performances between 1980 and 2000—including Drinking in America; Sex, Drugs, Rock & Roll; and Wake Up and Smell the Coffee—received three Obie awards. In addition to Talk Radio, Bogosian has written a number of full-length plays including subUrbia (LCT, Second Stage, adapted to film), Griller (Goodman), Red Angel (Williamstown Theater Festival), Humpty Dumpty (The McCarter), and 1+1 (New York Stage and Film). He is also the author of three novels—Mall, Wasted Beauty, and Perforated Heart—and a novella, Notes from Underground. As an actor, Bogosian has appeared in numerous films and television programs, starring in Robert Altman’s The Caine Mutiny Court Martial, Oliver Stone’s Talk Radio, Under Siege II, Wonderland, and as Captain Danny Ross on Law & Order: Criminal Intent. Bogosian has just completed a book, Operation Nemesis, on the Soghomon Tehlirian trial and the Nemesis conspiracy, which culminated in the assassination of the Ottoman Grand Vazir, Talat Pasha (d. 1921) in Berlin. Bogosian has dedicated the last five years to the study of Armenian and Turkish history, interviewing prominent historians around the world, translating primary texts from Armenian, French, and German, and conducting primary research in the British archives. As Manoogian Simone Foundation Fellow and Artist in Residence at the Institute for the Humanities, Bogosian will work on a screenplay and/or theatrical play based on his book, Operation Nemesis. Bogosian will deliver the ASP opening lecture on September 17, 2014 at 6:30 pm. In his talk, “An Armenian American Artist—Back to the Front,” Bogosian will discuss the evolution of his life as an artist and as an Armenian-American. Bogosian will also lead three workshops for faculty and graduate students focusing on the relationship between art and history while investigating specific works and their role in defining the term “artist” at different times in history.",Map Museum of Art - Helmut Stern Auditorium,['2014-09-17 18:30']
33181,Pharmaceutical Sciences Special Seminar Featuring Dr. Les Benet,"The seminar will be presented by Leslie Benet, PhD, Professor, UCSF School of Pharmacy. “BDDCS, the Rule of 5 and Drugability” The rule of 5 methodology appears to be as useful today in defining drugability as when it was proposed, but recognizing that the database that we used includes only drugs that successfully reached the market. We do not view additional criteria necessary nor did we find significant deficiencies in the four Rule of 5 criteria originally proposed by Lipinski and coworkers. BDDCS builds upon the Rule of 5 and can quite successfully predict drug disposition characteristics for drugs both meeting and not meeting Rule of 5 criteria. More recent expansions of classification systems have been proposed and do provide useful qualitative and quantitative predictions for clearance relationships. However, the broad range of applicability of BDDCS beyond just clearance predictions gives a great deal of further usefulness for the combined Rule of 5/BDDCS system.",Map Clarence Cook Little Building - 2548,['2016-09-16 16:00']
32821,Group Debrief Session,Immersion Group Debrief Sessions are for our students that attended the Google and DocNetwork Immersions on the previous Friday. These 30 minute meetings are for students to reflect on their experience and share some insights.,"Program Room (3003) University Career Center, 3200 Student Activities Building 515 E Jefferson St, Ann Arbor, MI, United States",['2016-11-15 16:00']
206,"SMTD at UMMA Lecture:  Born Like a Phoenix from the Ashes? The Renewal of French Music 1870-1918 (Jane Fulcher, UM)","This lecture examines both the truth and the myth of a dominant theme in the historiography of French music: that it was ""reborn,"" now following a progressive new path in the wake of the French defeat in the Franco-Prussian War of 1870. As it will demonstrate, the seeds of an independent new musical culture were already planted in the 1860s, after the foundation of the musical equivalent of the Salon des Réfusées – the Théatre Lyrique. From here it will examine those composers who emerged in this period, such as Gounod, Bizet, Saint-Saens and Chabrier, the latter becoming one of the first great collectors of impressionist painting. Finally, it will consider how Debussy was able to profit not only from academic institutions such as the Conservatoire, but from France's now thriving independent culture, which included the Symbolists and the Société Nationale de Musique FranÃ§aise.",Map Museum of Art - Auditorium,['2009-10-23 15:00']
25916,"Applied Physics Seminar: ""Big Propulsion for Small Satellites""","The rapid growth of small satellite launches, especially CubeSats, in recent years is a testament to their applicability to a huge variety of academic, government, and industry missions. Although many satellite technologies have been successfully scaled down to CubeSat sizes, propulsion remains a major technology gap due to difficulties in miniaturization. But providing a CubeSat with 10s, 100s, or even 1000s of m/s of delta-v would enable a huge variety of new missions for those satellites. For this reason, a variety of technologies are being pursued by universities, government agencies, and commercial entities. These devices will be surveyed and progress on the University of Michigan technology—the CubeSat Ambipolar Thruster—will be addressed in detail.",Map West Hall - 335,['2015-11-18 12:00']
3734,"Entering Canada to Visit, Work, Study, or Live","Representatives from the Canadian Consulate General, Detroit will talk about these requirements and will also be happy to answer questions. These representatives are experts on this topic; this is an excellent opportunity to get accurate information and to have your questions answered. For complete details, please refer to our website below.",Map Electrical Engineering and Computer Science Building - 1200 (1st floor),['2010-12-10 14:00']
8198,Internship Searching for Union and Recreation Student Employees,"Using iPlan as the framework, students will walk away with a better understanding of their Story, Presentation, and Community. The facilitator will introduce participants to internship/job searching, and talk about how to spend their energy looking in the right places.",Off Campus Location,['2012-02-19 16:00']
29768,LGBTQ+ Health & Wellness Week - Feel Good Friday!,"Join the Spectrum Center and MESA for an afternoon of relaxation! Finish out your week with a variety of activities to help you de-stress; includes coloring, crafts, meditation, and other options. Don't miss the Decolonize(d) Yoga session starting at 3:30pm and a FREE dinner at 5pm before the start of a talk on spiritual wellness!",Map William Monroe Trotter Multicultural Center - Main Floor,['2016-03-18 13:00']
22594,Groundbreaking Ceremony,"The University of Michigan's Taubman College of Architecture and Urban Planning presents...the Groundbreaking Ceremony. Join Regent Katherine White, President Mark Schlissel, and Dean Monica Ponce de Leon for a groundbreaking ceremony to celebrate our building renovation and addition, the A. Alfred Taubman Wing. To RSVP, Please fill out the following form at this address. About the University of Michigan's Taubman College of Architecture and Urban Planning: The Taubman College of Architecture and Urban Planning at the University of Michigan is a leader in interdisciplinary education and research with a focus on creating a more beautiful, inclusive, and better built environment. The college and its alumni are committed to pushing the boundaries of architectural practice, advancing global engagement, and significantly enhancing diversity in the profession. The college offers the following degrees: Bachelor of Science in Architecture, Master of Architecture (currently ranked #6 nationally; ranked #1 in 2010 by Design Intelligence Report), Master of Science in Architecture, Master of Urban Planning, Master of Urban Design, and PhD programs. University of Michigan - The University of Michigan is one of the nation’s leading public universities, according to the U.S. News & World Report, and is ranked 29th overall amongst public and private universities. Of the 130 UM graduate programs evaluated by U.S. News & World Report, 99 are ranked in the top ten. Only three other universities have more top-ten graduate programs than the University of Michigan. Over the years, the university has grown to include 19 schools and colleges covering the liberal arts and sciences as well as most professions and has a population of almost 44,000 undergraduate, graduate, and professional students. According to the latest national data, the university’s expenditures on research ($1.32 billion in FY2012) represent more than any other U.S. public university.",Map Art and Architecture Building - Slusser Courtyard,['2015-04-15 11:00']
30268,"Third Dissertation Recital: Jonathan D. Smith, percussion",PROGRAM: Stravinsky - Histoire du soldat; Jolivet - Rhapsodie à sept; Reich - Six Marimbas.,Map Earl V. Moore Building - McIntosh Theatre,['2016-04-17 11:30']
29164,The Spiritual Profundity of Ludwig van Beethoven,This lecture is sponsored by the Veritas Forum at the University of Michigan. It will explore spiritual dimensions of Beethoven's work.,Map Earl V. Moore Building - Watkins Lecture Hall,['2016-03-08 18:30']
35738,"Jason Furman, Chair of the Council of Economic Advisers","Free and open to the public. Reception to follow. Join the conversation: #policytalks This event will be live webstreamed. Check fordschool.umich.edu/events on the day of the event for viewing information. From the Speaker's Bio: Jason Furman was confirmed by the Senate on August 1, 2013 as the 28th Chairman of the Council of Economic Advisers. In this role, he serves as President Obama’s Chief Economist and a Member of the Cabinet. Furman has served the President since the beginning of the Administration, previously holding the position of Principal Deputy Director of the National Economic Council and Assistant to the President. Immediately prior to the Administration, Furman was Economic Policy Director for the President’s campaign in 2008 and a member of the Presidential Transition Team. Furman held a variety of posts in public policy and research before his work with President Obama. In public policy, Furman worked at both the Council of Economic Advisers and National Economic Council during the Clinton administration and also at the World Bank. In research, Furman was a Senior Fellow at the Brookings Institution and the Center on Budget and Policy Priorities and also has served in visiting positions at various universities, including NYU’s Wagner Graduate School of Public Policy. Furman has conducted research in a wide range of areas, such as fiscal policy, tax policy, health economics, Social Security, and domestic and international macroeconomics. In addition to numerous articles in scholarly journals and periodicals, Furman is the editor of two books on economic policy. Furman holds a Ph.D. in economics from Harvard University. For more information visit: http://fordschool.umich.edu/events/2016/jason-furman",Map Weill Hall - Annenberg Auditorium,['2016-11-28 16:00']
