id,title,desc,loc,date,tags
6196,Family Night,"for men, for women for queer, for straight for hot, for cold for dance, for talk for you, for me - for all of us! FAMILY NIGHT AT SAVA'S - A GAY OL' TIME! Come hang out with your super-queer-friendly family here at Ann Arbor's hottest spot! FIRST TUESDAY OF EVERY MONTH!! NO COVER! DRINK SPECIALS! 21 AND UP",Off Campus Location - Sava's- 216 S. State Street,['2011-07-05 22:00'],"['Food', 'Lgbt']"
6207,Pre-Class Bash 2011,"Head to Palmer Field the night before classes begin (and your LAST night of summer!) to kick off the year with free food, free T-Shirts, music, games, prizes, mingling and an all-around great time!",Map Palmer Field,['2011-09-05 18:00'],"['Food', 'Games', 'Inflatables', 'K-grams', 'Michigan student assembly', 'Music', 'Prizes', 'Residence halls association', 'Social event', 'Student org', 'T-shirts', 'Welcome week']"
6249,Bubble Tea Bash!,"Come and enjoy some free Bubble Tea! Stop by, grab some tea to try, discover with InterVarsity's about, and meet new people!",Map Chemistry & Willard H Dow Laboratory - Atrium,['2011-09-02 17:00'],"['Asian american', 'Christian', 'Free food', 'International', 'Multicultural', 'Religious', 'Student org', 'Welcome week']"
6258,Escapade!,"The University’s biggest welcome back party! The Michigan Union is the place to be on Thursday, September 1, 2011. Join 6,000 of your closest friends to do such fun activities as a roller coaster simulator, arts and crafts, try a TON of free food, check out the student organizations, and listen to live bands and student performers.",Map Michigan Union,['2011-09-01 19:00'],"['Dance', 'Festival', 'Free food', 'Music', 'Student org', 'Welcome week']"
6284,Cook-Out in the Courtyard,Looking for a barbecue on Labor Day? Come join us and other students for a late afternoon cook-out in the courtyard.,Off Campus Location - St. Mary Student Parish (331 Thompson),['2011-09-05 17:00'],"['Free food', 'Social event', 'Welcome week']"
6287,Freshmen Evening of Spiritual Refreshment,"This special evening is open to all freshmen. You and your classmates are invited to explore your growing and changing relationships with family, friends, self and God. Come, bring your friends and roommates, and celebrate the first month of your new life with a HOME COOKED MEAL and GREAT DESSERTS. Upper class students will share their own experience and encourage conversation and reflection on these important topics and also share concerns about classes, and opportunities for you at St. Mary’s.",Off Campus Location - St. Mary Student Parish (331 Thompson),['2011-09-30 18:00'],"['Free food', 'Religious', 'Social event', 'Welcome week']"
6292,Taste of Culture,"You are invited to celebrate the commencing of another exciting and eventful year at the University of Michigan with MESA/Trotter. Come sample authentic cultural foods from a variety of local restaurants, enjoy live performances & music, win giveaways, and participate in family friendly games and activities. It’s also a chance to learn about resources for diverse populations in the Ann Arbor area. Come out and get to know new and returning students, connect with University staff, and learn more about what MESA/Trotter has to offer!",Map William Monroe Trotter Multicultural Center,['2011-09-11 14:00'],"['Free food', 'International', 'Live performances', 'Multicultural', 'Welcome week']"
6340,MLibrary Open House,"MLibrary Open House: A Party For Your Mind! The Shapiro Library will take a break from studying and stress on Sunday, September 4th from 4-6pm. Here are some of the highlights: *Free Pizza! *Video Games! *Photo Booth! *The Amazing Library Race! *Palm Reader! *Arts@Michigan Craft Tables! Our open house is a big Welcome to Michigan from the library staff to the students. Hope to see you there!",Map Shapiro Harold & Vivian Library,['2011-09-04 16:00'],"['Food', 'Free', 'Library', 'Open house']"
6350,North Campus Barbecue,"Hosted by InterVarsity Christian Fellowship and its chapters here at Michigan, NCBBQ is a come-when-you-can and leave-when-you-must (..I mean, why would you?) event that's open to all students! If you're interested in being a part of a Christian community or just simply hungry after a long day come on out and join us!",Map Diag - North Campus,['2011-09-01 17:00'],"['Christian', 'Free food', 'International', 'Multicultural', 'North campus', 'Student org']"
6576,North Campus Tailgate,"Watch the Wolverines take on the Northwestern Wildcats in this Big Ten battle. Burgers, snacks, and giveaways will be provided. Kickoff is at 7:00pm. Don’t be late, and Go Blue!",Map Lurie Ann & Robert H. Tower - North Campus Diag,['2011-10-08 19:00'],"['Alcohol-free', 'Food', 'Football', 'Free food', 'Late night', 'North campus', 'Sport', 'Sports event', 'Tailgate']"
6577,North Campus Tailgate,"Watch the Wolverines take on the Iowa Hawkeyes in this Big Ten battle. Burgers, snacks, and giveaways will be provided. Game time is TBD, so check back later once kickoff is announced! Don’t be late, and Go Blue!",Map Lurie Ann & Robert H. Tower - North Campus Diag,['2011-11-05 12:00'],"['Alcohol-free', 'Football', 'Free food', 'Late night', 'North campus', 'Tailgate']"
6667,MSA Presents: The Under the Lights Tailgate,"Come to the Sports Coliseum before the Michigan vs. Notre Dame and hang out with thousands of fellow Wolverines! Bring your MCard and enter the WOLVERINE ZONE, where you will get: *Free Domino's Pizza and Refreshments *Free Tailgate T-Shirt *RHA Maize and Blue Face Painting/Face Tattoo Station *Watch football games from around the country on our 9x12 ft LED screen *Entertainment from student organizations *Free raffles for a chance to win Night Game Replica Jerseys *Competition to win Box Seats to the night game Follow MSA for Updates! Twitter: @msa_update Facebook: facebook.com/msa.update Text TAILGATE to 99000 (standard text and data rates may apply) *Stadium Rules Apply: no bags, no outside food or beverage, no containers. For a full list of prohibited items please go to mgoblue.com*",Map Coliseum,['2011-09-10 12:00'],"['Face painting', 'Football', 'Free food', 'Games', 'Michigan student assembly', 'Music', 'Raffles', 'Student government', 'Tailgate', 'Under the lights', 'Welcome week']"
6691,Blockbuster at the Belltower,"Come to a free showing of the hit comedy Bridesmaids! We will be screening the film on the North Campus Diag, next to the Lurie Belltower. Free pizza will also be provided. See you there!",Map Diag - North Campus,['2011-09-15 20:30'],"['Film', 'Free food', 'Movie', 'North campus', 'Welcome week']"
6788,Welcome Back Barbecue hosted by the Native American Student Association,"Mark your calendars! The Native American Student Association (NASA) cordially invites you to join us for our annual Welcome Back Barbecue. Here you will have an opportunity to meet NASA members, elders, members of the local Native community, and faculty members in Native American studies. Enjoy a free dinner and learn more about our annual powwow, the Native heritage month series, the Ojibwe program, and other events and resources on campus. Anyone and everyone is welcome! Who: Native American Student Association When: Friday, September 30, 2011 5-7 PM Where: U-M's Trotter Multicultural Center 1443 Washtenaw Avenue Ann Arbor, MI 48109 Contact #: 734-408-1581 Trotter Multicultural Center is located on Washtenaw Avenue and South University, walking distance from campus, but free parking is also available behind the building. For event and group updates, please visit nasaumich.blogspot.com. Wisinidaa. Let's eat. Izhaadaa Giizhigowaande! Go Blue!",Map William Monroe Trotter Multicultural Center - Outside or Basement in case of inclement weather,['2011-09-30 17:00'],"['American indian', 'Barbecue', 'Bbq', 'Central campus', 'Cultural', 'Dinner', 'Food', 'Free', 'Free food', 'Fun', 'Indian', 'Indigenous', 'Native american', 'Ojibwe', 'Social']"
6805,SHPE Academic Retreat,"Feel like there aren’t enough hours in the day? Not sure what to do in school to help you land an internship or job? Thinking about Graduate school and want to learn more? Or do you want to network with first year students in order to form peer study groups? If you answered yes, to any of these questions come to the SHPE academic retreat. Food will be provided (Panera) and there is a registration limit, so hurry up and sign up: https://www.engin.umich.edu/form/shpeacademicretreat Worried that you will miss the tailgating and kick-off? the university realizes how important your academic success is that they have decided to start the game 8:00PM so there will be plenty of time afterward for the festivities. Woke up late!!! Ideally everyone would make it on time to the retreat, but presumably some people are attending because they don't know time management. Don’t worry there are many different workshops each starting through the day whether you need to arrive late or leave early you can benefit from this event so just show up. Don't miss this great opportunity to meet fellow students interested in academic excellence, learn from professionals and get good old free food. Schedule: 12:00pm - 1:00pm Welcome Students Brunch 1:00pm - 1:40pm Susan Montgomery - Time Management Workshop 1:40pm - 1:50pm Break 1:50pm - 2:30pm Carlos Pons Siepermann and Paul Arias - Student Role-Model Workshop 2:30pm - 2:40pm Break 2:40pm - 3:20pm Orlando Alvarez - Alumnus Workshop (Importance of Academic Excellence in the Workforce) 3:20pm - 3:30pm Adjournment If you have questions please feel free to post them on the event wall! Hope to see you all there!",Map Chrysler Center - Chesebrough Auditorium,['2011-09-10 12:00'],"['Academic', 'Academic excellence', 'Academic retreat', 'Academics', 'Auditorium', 'Chesebrough', 'Chrysler', 'Chrysler center', 'Coe', 'College of engineering', 'Elc', 'Engineering', 'Engineers', 'Event', 'Excel', 'Excel academically', 'Excellence', 'Food', 'Free', 'Free food', 'Hispanic', 'Latino', 'Professional', 'Retreat', 'Saturday', 'Shpe', 'Society', 'Society of hispanic professional engineers', 'Study']"
6869,"UMix - ""The Final Frontier""","Come enjoy a Friday night unlike anything you've experienced so far! * Play Mindball, a mind-control ping pong ball competition * DIY Glow-in-the-dark Craft Station * Movie Screening of ""Super 8"" * Student Improv Troupe ComCo Performance * Billiards & Video Games * Karaoke * Nacho/Taco Buffet",Map Michigan Union,['2011-09-16 22:00'],"['Film screenings', 'Free', 'Free food']"
6870,"UMix - ""Casino Night""","Come experience UMix's very own ""Casino Night"" complete with: * Slot Machines * Professional Dealers * Table Games * Movie Screening of ""21"" * International Fusion Buffet",Map Michigan Union,['2011-09-23 22:00'],"['Film screenings', 'Free', 'Free food', 'Friday', 'Games']"
7082,Business Etiquette Dinner,"Date: Thursday, October 27, 2011 Time: 5:00-7:00 pm Place: Commons Cafe at Pierpont Commons Cost: $15 Registration opens on October 3 at http://tiny.cc/0ld37. Pay and pick up your ticket at SORC (4015 Michigan Union). Come learn the dos and don'ts of formal dining with the University's own, Keith Soster, Food Services Director. Enjoy a four-course meal!",Map Pierpont Commons - Commons Cafe,['2011-10-27 17:00'],"['Career', 'Etiquette', 'Food', 'North campus', 'Professional development']"
7208,Bada Hari Bliss,"Bada Hari Das is a world renowned Indian classical music performer. He has been preforming profesional Indian classical music for the last 20 years, before which he was a western classical and jazz musician. Please join us for this wonderful evening of ecstatic bliss while we experience his live music!",Map Michigan Union - Pond Room,['2011-10-21 17:00'],"['Bada hari', 'Bhakti', 'Classical', 'Concert', 'Dance', 'Free', 'Indian', 'Kirtan', 'Meditation', 'Multicultural', 'Music', 'Student org', 'Yoga']"
7229,"UMix - ""Carnival Night""","October 7th marks the UMix Carnival Night! Human bowling, trivia challenge, traditional carnival games and much more descend on the Michigan Union for the first UMix event of October. As always, entry and the buffet are free. So put on your favorite carnival gear and swing on by!",Map Michigan Union,['2011-10-07 22:00'],"['Billiards', 'Film screening', 'Free', 'Free food', 'Games', 'Umix']"
7245,Pearl Jam Twenty Documentary Screening,"Come check out the Cameron Crowe directed documentary. We will be raffling off cool Pearl Jam stuff and there will be pizza, so make sure you're on time!",Map Chemistry & Willard H Dow Laboratory - 1300,['2011-10-10 21:00'],"['Free', 'Movie', 'Music', 'Pearl jam']"
7276,Wednesday Night Student Gathering,"Join us each Wednesday for Student Night beginning at 6PM with a free home-cooked meal, continuing at 6:30PM with an informal Service of Holy Communion and concluding with Bible study, game night or another activity from 7-8PM. Come for all or part of the evening. Questions? lcm.umich@gmail.com","Off Campus Location - Lord of Light Lutheran Church, 801 S Forest (@ Hill), A2","['2011-10-12 18:00', '2011-10-12 18:00', '2011-10-19 18:00', '2011-10-26 18:00', '2011-11-02 18:00', '2011-11-16 18:00']","['Community service', 'Food bank', 'Free food', 'Religious', 'Social justice', 'Student org']"
7277,Sunday Worship @ 11AM & Free Brunch,"Join Lutheran Campus Ministry and Lord of Light Lutheran Church for a Service of Holy Communion each Sunday at 11AM followed by coffee hour, fellowship and a free brunch catered by members of the congregation. This is a great chance to worship with people of all ages in a community focused on ministry to the university communities. All are welcome. Questions? Contact Pastor Sue Sprowls: ssprowls@umich.edu","Off Campus Location - Lord of Light Lutheran Church, 801 S Forest (@ Hill), A2","['2011-10-02 11:00', '2011-10-09 11:00', '2011-10-16 11:00', '2011-10-23 11:00', '2011-10-30 11:00']","['African', 'Free food', 'Music', 'Religious', 'Worship']"
7288,Volunteer at Food Gatherers,"We're changing our schedule this week! Join us for an evening of volunteering at Food Gatherers Community Food Bank (consistently rated as one of the most well-managed organizations of its kind in the nation). Come for a free dinner at 5PM if you can. We'll meet to carpool at 5:30PM and return by 8:30PM For more info, contact Katie: lcm.umich@gmail.com","Off Campus Location - Lord of Light Lutheran Church, 801 S Forest (@ Hill), A2",['2011-11-09 17:30'],"['Community', 'Food bank', 'Religious', 'Social justice']"
7303,Wednesday Night Student Gathering,"We gather every Wednesday for Student Night beginning at 6PM with a free home-cooked meal, continuing at 6:30PM with an informal Service of Holy Communion and concluding with Bible study, game night or another activity from 7-8PM. Come for all or part of the evening. Questions? lcm.umich@gmail.com","Off Campus Location - Lord of Light Lutheran Church, 801 S Forest (@ Hill), A2",['2011-11-16 18:00'],"['Free', 'Free food', 'Fun', 'Music', 'Religious', 'Student org', 'Worship']"
7304,Wednesday Night Student Gathering,"Wednesday Student Nights begin at 6PM with a free home-cooked meal, continuing at 6:30PM with an informal Service of Holy Communion and concluding with Bible study, game night or another activity from 7-8PM. Come for all or part of the evening. Questions? lcm.umich@gmail.com","Off Campus Location - Lord of Light Lutheran Church, 801 S Forest (@ Hill), A2","['2011-11-30 18:00', '2011-12-07 18:00', '2011-12-14 18:00']","['Free food', 'Fun', 'Music', 'Religious', 'Student org', 'Worship']"
7315,The Night They Came Home:  The Ghosts of UMix,"On October 21st, the Michigan Union will be transformed into a haunted house. Come experience a tour of the Union like none another and learn about the ghosts and stories of the this fabled building. After going on the tour, explore the rest of the Union where there will be pumpkin carving, Zombie Makeovers, a Thriller Dance-off and of course, free buffet and billiards.",Map Michigan Union,['2011-10-21 22:00'],"['Free', 'Free food', 'Halloween', 'Haunted house', 'Umix']"
7397,UMix,"UMix is moving on up to North! Love Angry Birds? How about Words? Well come play these games live at Pierpont Commons. As always, a free buffet and a multitude of fun activities will be offered.",Map Pierpont Commons,['2011-11-04 22:00'],"['Film screening', 'Free food', 'North campus', 'Umix']"
7481,Family Night at Pierpont,"Once upon a time... at Family Night When: Wednesday, November 16, 2011 from 5:30-7:30 p.m. Where: Pierpont Commons, Commons Café, U-M North Campus What: FREE fun for all ages including snacks, crafts, story time, dress up, photos, games, and more! For more information, contact the Center for Campus Involvement at uminvolvement@umich.edu or 734-763-3202",Map Pierpont Commons - Commons Cafe,['2011-11-16 17:30'],"['Children', 'Crafts', 'Family event', 'Food', 'Games', 'North campus']"
7663,Stress Relief Week,"Join the Center for Campus Involvement for a week of events to help you de-stress before the final week of classes! Monday, December 5th: Massages and Manicures Michigan Union, Pond Room Tuesday, December 6th: Relaxing Foods: discussion and tasting Michigan Union, Pendleton Room Wednesday, December 7th: Yoga and Pilates classes Michigan Union, Pond Room Thursday, December 8th: Crafts and a Movie Michigan League, Kalamazoo Room Friday, December 9th: UMix (10:00 pm - 2:00 am) Michigan Union Each event will be from 5:00-7:00 pm (except UMix). Give-aways and raffle prizes each night!",Map Michigan Union - Pond Room,"['2011-12-05 17:00', '2011-12-06 17:00', '2011-12-07 17:00', '2011-12-08 17:00', '2011-12-09 22:00']","['Crafts', 'Film', 'Food', 'Health and wellness', 'Lecture', 'Massage', 'Pilates', 'Prizes', 'Yoga']"
7728,Trotter Multicultural Center's 72 Hour Study Break,"This semester's 72 Hour Study Break held at the Trotter Multicultural Center, located at 1443 Washtenaw Avenue (off of S. University) will take place December 8th through 11th. The goal of 72 Hour Study Break is to provide a comfortable environment where both studying and relaxation are strongly encouraged. For the period of 72 hours the Trotter Center is transformed into a point of attraction for students who are seeking opportunities to be mentally and socially stimulated during a very stressful time of the school year. Join us and partake in quiet or group study, take advantage of writing workshops and other beneficial tutoring sessions and so much more! From the warmth of the fire place to the scrumptious free meals offered during breakfast, lunch and dinner the Trotter Team welcomes you to indulge in all we have to offer. Come to study and stay for the massages, movies, games, conversations, free coffee, Wi-Fi and many other exciting opportunities! This year we are thrilled to offer 3-hour time blocks to student groups in one of the private rooms, we are now accepting reservations! Please contact the Trotter by e-mail at Trotter72Hour@umich.edu for more information!",Map William Monroe Trotter Multicultural Center,"['2011-12-08 0:00', '2011-12-09 0:00', '2011-12-10 0:00', '2011-12-11 0:00']","['Coffee', 'Dsa', 'Free food', 'Games', 'Massages', 'Mesa', 'Movies', 'Study break', 'Trotter', 'Tutoring']"
7769,Word of Mouth StorySLAM,"Still full from Thanksgiving? Come tell us about it! Join Word of Mouth Stories for its next StorySlam at 6 PM on Friday, December 9th, at the Work Gallery on State Street. This month's theme is ""Stuffed,"" and the event should be full of tasty tales. Never been to our slams before? Audience members tell five-minute stories from their lives relative to a theme. Whether you come with stories or just to listen in, we hope to see you there!",Off Campus Location - Work Gallery on State St.,['2011-12-09 18:00'],"['Food', 'Literary arts', 'Performance', 'Social event', 'Story telling']"
7791,Lightworks,"A showcase of the films, videos, and animations made by SAC students in Fall 2011 production courses from the year. Presented by the U of M Film and Video Student Association and the Department of Screen Arts & Cultures.",Off Campus Location - Natural Science Auditorium,"['2011-12-16 18:30', '2011-12-17 18:30']","['Animation', 'Film', 'Film festival', 'Film screenings', 'Free', 'Free food', 'Popcorn', 'Student org', 'Student work', 'Video', 'Visual arts']"
7859,Sustainable Food Careers Symposium,"This symposium will bring graduate and undergraduate students together with professionals in food careers related to sustainability and the environment. Our goal is to expose students to the wide range of career opportunities in this field. The event will feature four panel discussions focused on the following topics: -Food Law, Policy, and Government -International Development in Food -Sourcing and Change in the Private Sector -Start-ups in Food FREE lunch from Zingerman's Roadhouse is included! More details (and website address) to come...",Map Dana Natural Resources Building - Room 1040,['2012-02-10 9:30'],"['Career', 'Environmental', 'Food', 'International development', 'Public policy', 'Sustainability']"
7918,UMix: Choose Your Own Adventure,"On January 20, we're putting you in charge! Visit the new website for the Center for Campus Involvement (http://campusinvolvement.umich.edu) to cast your votes for what you want to see at the first UMix of 2012! We're excited to see what you select. Come back each day to choose everything about the event: the movie, the buffet, all the activities, and even the music we play throughout the building. And be sure to join us from 10pm-2am on Friday, January 20 to experience the first ever UMix: Choose Your Own Adventure!",Map Michigan Union,['2012-01-20 22:00'],"['Film', 'Free food', 'Friday', 'Late night', 'Movie', 'Umix']"
7974,Open Membership Meeting,"The Ring of Steel Action Theatre, a U of M student group, welcomes all those who want to join us for a free intro to theatrical swordplay. Anyone, student or not, is welcome to attend and learn the first steps (literally) of swordplay and stunt work. All you need to bring are clothes appropriate for moving in and a readiness to learn. But bring a friend, too!","Off Campus Location - Student Theater Arts Complex, 1201 Kipke Dr",['2012-01-12 18:00'],"['Film', 'Free', 'Stage combat', 'Theater', 'Theatrical combat']"
7975,Ring of Steel Action Theatre Open House,"Join Ring of Steel for an afternoon of professional stunt persons demonstrating their craft. Maestro Christopher Barbeau will be demystifying the art and history of stage combat while club members execute dizzying action sequences with swords, whips, and more. A sampling of Ring's arsenal of more than two thousand props will be on display for our audience members to hold and examine, including swords, guns (unloaded blank-firing), lightsabers, and armor to be worn and photographed. Stick around after the presentation for free intro lessons to swordplay, high falls, and mini trampoline!","Off Campus Location - Student Theater Arts Complex, 1201 Kipke Dr",['2012-02-11 11:00'],"['Demonstration', 'Entertainment', 'Family friendly', 'Film', 'Free', 'Lecture', 'Performance', 'Stage combat', 'Student organization', 'Theater']"
8072,Performance Showcase: Images of Identities			,"Want a new way to escape the hustle and bustle of college life? Let Images of Identities Improv Comedy group provide laughter that is good for your soul. One Thursday each month, join us for a night of laughs, food, fun, and surprises.",Map Michigan League - Underground,"['2012-01-19 21:00', '2012-02-16 21:00', '2012-03-15 21:00', '2012-04-12 21:00']","['Center for community involvement', 'Free', 'Performance']"
8075,PROFS,"""PROFS - Professors Reaching Out For Students is a monthly lecture series sponsored by Center for Campus Involvement (CCI) and Mortar Board Honors Society where professors from various fields come to speak on their current research. Great way to earn brownie points with professors, earn extra credit and learn something new! Ameed Raoof, M.D., Ph.D. will be speaking on muscle biology and plastination, think in depth look at """"Body Exhibits""""! January 17th 6:00-7:00 Michigan Room of the Michigan League. Free Pizza and refreshments provided!",Map Michigan League - Michigan Room,['2012-01-17 18:00'],"['Center for community involvement', 'Free', 'Free food']"
8104,Sexpertise 2012,"Sexpertise is a free annual event that focuses on conversations about relationships, communication, sex, and sexual health. It is presented by Sexperteam, a University Health Service sexual health peer education group. We do programs all over campus and can bring sexual health and healthy relationship information to your community, via theater, games and other activities, or we can partner with your group to do a program. You can get more information about Sexperteam and safer sex supplies at the event.","Map Michigan League - Michigan, Vandenberg & Hussey","['2012-01-25 15:30', '2012-01-26 14:00', '2012-01-27 14:00']",['Free']
8123,Performance Showcase: Musical Theatre Cabaret			,"Musical Theatre Cabaret presents a Disney Cabaret, featuring members of the Musical Theater Department in a fun, silly, and relaxing environment. Expect to see several boldly entertaining renditions of Disney's best songs!",Map Michigan League - Underground,['2012-01-21 21:00'],"['Free', 'Musical theater', 'Performance']"
8131,Sexpertise,"About Sexpertise: UM students have a lot of questions about healthy sexuality and relationships. They don't always know where to get the answers to these tough questions. Sexpertise brings in local experts in the fields of sexual health and relationships for open, honest conversations and activities that give students the chance to ask these hard questions and have a little fun in the process! All sessions are free and open to University of Michigan students, staff and faculty. Visit the website for specific workshop times and room locations. Participants can attend any amount or combinations of events. http://uhs.umich.edu/sexpertise",Map Michigan League - Hussey & Vandenberg Rooms,['2012-01-26 14:00'],"['Disability', 'Free', 'Health and wellness', 'Lgbtq issues', 'Multicultural', 'Peer education', 'Relationships', 'Sexual health', 'Sexuality']"
8132,Sexpertise,"About Sexpertise: UM students have a lot of questions about healthy sexuality and relationships. They don't always know where to get the answers to these tough questions. Sexpertise brings in local experts in the fields of sexual health and relationships for open, honest conversations and activities that give students the chance to ask these hard questions and have a little fun in the process! All sessions are free and open to University of Michigan students, staff and faculty. Visit the website for specific workshop times and room locations. Participants can attend any amount or combinations of events.",Map Michigan League - Michigan Room,['2012-01-27 14:00'],"['Disability', 'Free', 'Health and wellness', 'Lgbtq issues', 'Multicultural', 'Peer education', 'Relationships', 'Sexual health', 'Sexuality', 'Social justice', 'Training']"
